RGI region,# total,ARCTICDEM,ASTER,AW3D30,DEM3,GIMP,MAPZEN,RAMP,REMA,SRTM,TANDEM
01: Alaska,27108,75%,100%,76%,100%,--,100%,--,--,47%,99%
02: Western Canada and USA,18855,4%,100%,94%,100%,--,100%,--,--,93%,98%
"03: Arctic Canada, North",4556,99%,98%,63%,99%,15%,100%,--,--,--,100%
"04: Arctic Canada, South",7415,97%,100%,44%,98%,--,100%,--,--,1%,100%
05: Greenland Periphery,20261,95%,98%,70%,99%,100%,99%,--,--,--,99%
06: Iceland,568,97%,100%,27%,100%,--,100%,--,--,--,100%
07: Svalbard and Jan Mayen,1615,99%,100%,32%,100%,--,100%,--,--,--,99%
08: Scandinavia,3417,92%,100%,24%,100%,--,100%,--,--,2%,100%
09: Russian Arctic,1069,98%,99%,7%,99%,--,100%,--,--,--,100%
"10: Asia, North",5151,48%,99%,85%,99%,--,99%,--,--,67%,100%
11: Central Europe,3927,--,100%,100%,100%,--,100%,--,--,100%,93%
12: Caucasus and Middle East,1888,--,100%,100%,100%,--,100%,--,--,100%,98%
"13: Asia, Central",54429,--,100%,100%,100%,--,100%,--,--,100%,98%
"14: Asia, South West",27988,--,100%,100%,100%,--,100%,--,--,100%,95%
"15: Asia, South East",13119,--,100%,100%,100%,--,100%,--,--,100%,94%
16: Low Latitudes,2939,--,100%,100%,100%,--,100%,--,--,100%,99%
17: Southern Andes,15908,--,99%,99%,99%,--,100%,--,--,99%,98%
18: New Zealand,3537,--,100%,100%,100%,--,100%,--,--,100%,85%
19: Antarctic and Subantarctic,2752,--,78%,24%,78%,--,99%,49%,18%,24%,87%
All RGI regions,216502,28%,99%,87%,99%,9%,99%,--,--,73%,97%
